yes,4,0,0,1,1,0,0,5,2,0,0,0,1,0,0,0,7,25,0,0
yes,28,0,1,2,1,0,0,2,2,0,0,0,1,0,0,0,4,12,0,0
yes,3118,57,90,0,1,0,0,36,6,1,0,0,1,0,0,1,42,155,0,1
yes,3680,52,13,0,1,0,0,6,1,0,0,0,1,0,0,1,7,25,0,0
yes,4072,0,7,0,1,0,1,19,12,0,0,0,1,0,0,0,31,141,0,0
yes,1962,0,16,0,1,0,0,13,4,0,0,0,1,0,0,0,17,70,0,0
yes,1962,0,16,0,1,0,0,13,4,0,0,0,1,0,0,0,17,70,0,0
yes,1962,0,16,0,1,0,0,13,4,0,0,0,1,0,0,0,17,70,0,0
no,3,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
yes,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
yes,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
yes,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
yes,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
yes,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
yes,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
yes,102440,0,116,3,1,0,1,5,2,0,0,0,1,0,0,0,7,26,0,0
yes,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
yes,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
yes,2,0,7,0,1,0,0,14,7,4,0,0,1,1,1,0,21,93,0,2
yes,0,0,0,0,0,0,0,6,8,1,0,0,1,0,0,0,14,47,0,0
yes,1,0,1,0,1,0,0,11,7,0,0,0,1,0,1,0,18,61,0,0
no,3,0,1,0,0,0,0,3,4,0,0,0,1,0,1,0,7,43,0,0
no,0,0,1,1,1,0,0,7,2,0,0,0,1,0,0,0,9,27,0,0
yes,138,0,0,0,1,0,1,2,4,0,0,0,1,0,0,0,6,25,0,0
yes,5792,0,20,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
no,721,0,5,0,1,0,0,7,5,0,0,0,1,0,0,0,12,70,0,1
yes,3510,0,11,3,1,0,1,6,2,0,0,0,1,0,0,0,8,28,0,0
yes,2,0,0,0,1,0,0,11,1,0,0,0,1,0,0,0,12,44,0,0
yes,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,5,0,0
yes,3,0,9,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
yes,5,0,0,0,5,0,0,15,2,0,0,0,1,0,0,0,17,53,0,0
yes,2,0,0,0,1,0,0,7,1,0,0,0,1,0,0,0,8,27,0,0
yes,1178,0,9,0,0,0,1,22,4,0,0,0,1,0,0,0,26,83,1,2
yes,1178,0,9,0,0,0,1,22,4,0,0,0,1,0,0,0,26,83,1,2
yes,1178,0,9,0,0,0,1,22,4,0,0,0,1,0,0,0,26,83,1,2
yes,2,0,2,0,0,0,0,15,12,0,0,0,1,0,0,0,27,119,0,4
yes,706,0,8,0,0,0,2,48,29,10,0,0,1,0,0,0,77,279,1,9
yes,3,0,9,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
yes,3,0,5,0,0,0,0,6,1,0,0,0,1,0,0,0,7,25,1,0
yes,3,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
yes,3,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
yes,2,0,0,0,1,0,0,10,3,0,0,0,1,0,0,0,13,37,0,0
yes,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
yes,6444,0,43,3,1,0,0,5,5,0,0,0,1,1,0,0,10,51,0,0
yes,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
yes,135,0,0,0,1,0,0,6,0,0,0,0,1,0,0,0,6,20,0,0
yes,3,0,3,0,2,0,0,0,1,0,0,0,1,0,0,0,1,10,0,0
yes,3,0,0,1,1,0,0,3,2,0,0,1,0,2,0,0,5,18,0,0
yes,1140,0,11,1,1,0,0,15,8,0,0,0,1,0,0,0,23,101,1,0
no,7,0,1,0,1,0,0,4,0,0,0,0,1,0,0,0,4,12,0,0
yes,5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
no,5656,0,34,0,1,0,0,171,71,5,0,0,1,0,0,0,242,906,0,22
yes,3,0,6,0,5,0,0,1,1,0,0,0,1,0,0,0,2,8,0,0
yes,658,0,0,0,1,0,1,42,16,0,0,0,1,0,0,0,58,251,0,6
yes,755,0,8,0,1,0,1,18,9,0,0,0,1,0,0,0,27,182,0,2
yes,755,0,8,0,1,0,1,18,9,0,0,0,1,0,0,0,27,182,0,2
yes,341,0,5,0,1,0,1,39,15,0,0,0,1,0,0,0,54,237,0,6
yes,850,0,21,0,1,0,1,36,16,0,0,0,1,0,0,0,52,235,0,6
yes,162,0,9,0,1,0,1,53,18,0,0,0,1,0,0,0,71,307,1,6
yes,1042,0,68,0,1,0,2,30,14,3,0,0,1,0,0,0,44,252,0,2
yes,640,0,18,0,1,0,1,41,9,0,0,0,1,0,0,0,50,269,1,2
yes,1042,0,68,0,1,0,2,30,14,3,0,0,1,0,0,0,44,252,0,2
yes,640,0,18,0,1,0,1,41,9,0,0,0,1,0,0,0,50,269,1,2
yes,1042,0,68,0,1,0,2,30,14,3,0,0,1,0,0,0,44,252,0,2
no,49,0,5,0,0,0,0,8,2,0,0,0,1,0,0,0,10,36,0,0
no,2538,0,10,0,1,0,0,9,1,0,0,0,1,1,0,0,10,37,0,0
